ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,,Address,Delivery time,Food type,,,,,,,,,,,,,,,,,,,,,,
211,Koramangala,Bangalore,Tandoor Hut,300,4.4,100,,5Th Block,59,Biryani,Chinese,,,,,,,,,,,,,,,,,,,,,
221,Koramangala,Bangalore,Tunday Kababi,300,4.1,100,,5Th Block,56,Mughlai,Lucknowi,,,,,,,,,,,,,,,,,,,,,
246,Jogupalya,Bangalore,Kim Lee,650,4.4,100,,Double Road,50,Chinese,,,,,,,,,,,,,,,,,,,,,,
248,Indiranagar,Bangalore,New Punjabi Hotel,250,3.9,500,,80 Feet Road,57,North Indian,Punjabi,,,,,,,,,,,,,,,,,,,,,
249,Indiranagar,Bangalore,Nh8,350,4,50,,80 Feet Road,63,Rajasthani,Gujarati,,,,,,,,,,,,,,,,,,,,,
254,Indiranagar,Bangalore,Treat,800,4.5,100,,100 Feet Road,56,Mughlai,North Indian,,,,,,,,,,,,,,,,,,,,,
258,Indiranagar,Bangalore,Chinita Real Mexican Food,1000,4.5,500,,Double Road,53,Mexican,Beverages,,,,,,,,,,,,,,,,,,,,,
263,Koramangala,Bangalore,Cupcake Noggins - Cakespastries And Desserts,150,4.3,100,,4Th Block,57,Desserts,British,,,,,,,,,,,,,,,,,,,,,
267,Domlur,Bangalore,Tea Brew,350,4.1,100,,Double Road,57,American,Italian,,,,,,,,,,,,,,,,,,,,,
308,Koramangala,Bangalore,Bangaliana,300,4,500,,7Th Block,57,Bengali,,,,,,,,,,,,,,,,,,,,,,
435,Koramangala,Bangalore,Bamey'S Restro Cafe,400,4.4,100,,5Th Block,56,Chinese,Thai,,,,,,,,,,,,,,,,,,,,,
446,Cooke Town,Bangalore,Altaf'S Chillies Restaurants,250,4.3,500,,Cooke Town,55,North Indian,Chinese,,,,,,,,,,,,,,,,,,,,,
453,Pulikeshi Nagar,Bangalore,Chichabas Taj,532,4.2,100,,Mm Road,54,Mughlai,North Indian,,,,,,,,,,,,,,,,,,,,,
464,Sivanchetti Gardens,Bangalore,Urban Solace,500,2.9,80,,Ulsoor Lake,48,American,Continental,,,,,,,,,,,,,,,,,,,,,
504,Kodihalli,Bangalore,Kaati Zone Rolls & Wraps,150,4.3,100,,Domlur Layout,59,Fast Food,Beverages,,,,,,,,,,,,,,,,,,,,,
604,Koramangala,Bangalore,Aalishan Restaurant & Caterer,290,4.3,100,,7Th Block,52,Mughlai,North Indian,,,,,,,,,,,,,,,,,,,,,
608,Domlur,Bangalore,Kerala Pavilion,300,4.1,100,,Domlur Layout,55,Kerala,Seafood,,,,,,,,,,,,,,,,,,,,,
621,Indiranagar,Bangalore,Kitchen Of Joy,250,4.4,100,,Domlur,55,Bengali,Fast Food,,,,,,,,,,,,,,,,,,,,,
1050,Jayanagar,Bangalore,Nagarjuna Chimney,800,4.2,1000,,3Rd Block,48,Seafood,Andhra,,,,,,,,,,,,,,,,,,,,,
1299,Film Nagar,Hyderabad,So. The Sky Kitchen,800,2.9,80,,Near Apollo Health City Gate,90,Mughlai,North Indian,,,,,,,,,,,,,,,,,,,,,
1304,Indiranagar,Bangalore,Esplanade,1200,4.3,100,,I Indirangar,54,Mughlai,Bengali,,,,,,,,,,,,,,,,,,,,,
1457,Banashankari,Bangalore,Hotel New Karavali,250,3.8,100,,Bsk 1St Stage,53,North Indian,Chinese,,,,,,,,,,,,,,,,,,,,,
1547,Masab Tank,Hyderabad,Dine Hill,400,4.1,500,,Ahmed Nagar,49,Arabian,Biryani,,,,,,,,,,,,,,,,,,,,,
